id	created_at	text
994677639364403000	5/10/2018 20:36	b'@Steff88979267 tell them to h*ck off'
994364904978239000	5/9/2018 23:54	b'@NFLOwnerGBP take it back'
994363623421153000	5/9/2018 23:48	"b'This is Louie. He has misplaced his Cheerio. Would love your help finding it. 14/10 of course, Louie https://t.co/p2aUdyoQU3'"
994336722875047000	5/9/2018 22:02	b'@rachaellanaghan \xe2\x9d\xa4\xef\xb8\x8f'
994024065982717000	5/9/2018 1:19	b'This is Captain Jack Wobbles. He is currently in command of this stump. Anyone who crossed him shall feel his wrink\xe2\x80\xa6 https://t.co/9tVJoKidir'
993944355051376000	5/8/2018 20:02	b'@shanestewart89 @darth who\xe2\x80\x99s the artist?'
993889355365257000	5/8/2018 16:24	b'@darth WHO SAID HE WASN\xe2\x80\x99T DARTH'
993889039714578000	5/8/2018 16:23	b'This is Manny. He hasn\xe2\x80\x99t seen your croissant. Not sure why you\xe2\x80\x99re questioning him. 13/10 for the honest boy https://t.co/1yMDweSH9K'
993629544463642000	5/7/2018 23:11	b'This is Libby. She leap. 14/10\n(IG: libbythefluffycorgi) https://t.co/pSt9QBSYNw'
993551676568195000	5/7/2018 18:02	b'@Wibblywobblykid no dollar sign just the whole number should work'
993551435202793000	5/7/2018 18:01	b'@XIDeasX in all honesty we want you to open this box and be overwhelmed with a similar feeling'
993550370105430000	5/7/2018 17:57	b'@Redox_rules @BellaMarieCt1 it should accept whole numbers from 0-1000'
993550075723964000	5/7/2018 17:56	b'@apureblackvoid it was also to get hateful people to comment and show themselves so i can block them'
993549188377055000	5/7/2018 17:52	b'@BillBodden if you selected not interested on the first question it should take you to just the demographic questions'
993547462743920000	5/7/2018 17:45	b'@failedinsomniac what other artwork is there'
993545616734195000	5/7/2018 17:38	b'@brant HI BRANT HOW ARE YOU'
993479993828298000	5/7/2018 13:17	b'@dodo omg'
993289347507027000	5/7/2018 0:40	b'Meet Grettle. She is unsure what she did to deserve this. Likes to be clean but never considered the mental cost. 1\xe2\x80\xa6 https://t.co/9rkh2AvNWp'
992835484916346000	5/5/2018 18:36	b'@JennyTee \xe2\x9d\xa4\xef\xb8\x8f'
992569952627560000	5/5/2018 1:01	b'@ShelbyNLRogers we\xe2\x80\x99ll remind you as much as we can'
992459058547445000	5/4/2018 17:40	"b'This is Bosco. On April 22nd he was hit by a car. The car sped away, and Bosco was left with a fractured hip. He un\xe2\x80\xa6 https://t.co/mzbbYj5o4G'"
992434549517881000	5/4/2018 16:03	b'@ForrestDickhut awwwww'
992241336677003000	5/4/2018 3:15	b'RT @dog_feelings: the human hasn\xe2\x80\x99t smiled much today. and i\xe2\x80\x99m not sure why. but i have a squeaker toy that looks like a cupcake. and i am c\xe2\x80\xa6'
992215164064817000	5/4/2018 1:31	"b'RT @jegan__mones: You howl all you want Charleston, honey https://t.co/Cv5bLk0ogh'"
992198572664860000	5/4/2018 0:25	b'This is Rosie. She thought Coachella was this weekend. Bought a non-refundable flower crown and everything. 13/10 m\xe2\x80\xa6 https://t.co/1bCfrWg2IS'
992108928791187000	5/3/2018 18:29	b'@HussMichael Michael... you may be onto something'
991837800474599000	5/3/2018 0:32	b'@gaygrich Happy. Kitchen. Bear.'
991837596887248000	5/3/2018 0:31	b'@joemcken @brianacollins_ co\xc3\xb3l'
991837147522064000	5/3/2018 0:29	b'Very funny guys. We only rate dogs. Please do not send in Happy Kitchen Bears. We will not rate them. Thank you...\xe2\x80\xa6 https://t.co/Z60glrqsAI'
991744823156793000	5/2/2018 18:22	b'@Electrodium @ChrisyRuddy i decided the majority of people would think i just misspelled it if i made that pun'
991744041351090000	5/2/2018 18:19	b'This is Riley. He\xe2\x80\x99ll be your chauffeur this evening. Hopes you don\xe2\x80\x99t mind if he drives with his shoulders. 13/10 wo\xe2\x80\xa6 https://t.co/UMlVIfaqLW'
991489999869800000	5/2/2018 1:30	b'@mulaney great work sir'
991468452232691000	5/2/2018 0:04	b'@Allen_Kim @DECAbrooks @dog_feelings you can unfollow for free \xf0\x9f\xa4\x97'
991403058625118000	5/1/2018 19:44	b'@darth IT LOOKS LIKE THERE ARE PLENTY DARTH WE JUST NEED TO KEEP B-MO HYDRATED'
991401309407465000	5/1/2018 19:37	b'@darth DARTH THERE IS A LINE NO CUTS'
991399795892916000	5/1/2018 19:31	b'This is B-Mo. He has a heart on his butt and he loves bringing people rocks. 13/10 a generous and talented boy https://t.co/UXje05PSlj'
991146093462413000	5/1/2018 2:43	b'@Mel30598 \xe2\x9d\xa4\xef\xb8\x8f'
991121306576879000	5/1/2018 1:05	b'@MarkBrokeIt @dog_feelings thank you sir. i promise to never resort to such terrorism again'
991117474551795000	5/1/2018 0:49	b'@Walters_Dom @dog_feelings anytime \xf0\x9f\x98\x98'
991117346990362000	5/1/2018 0:49	b'@MarkBrokeIt @dog_feelings we haven\xe2\x80\x99t broken even on them yet or i would never use these tactics'
991116499271278000	5/1/2018 0:46	b'Our Mother\xe2\x80\x99s Day card is only available through Wednesday! Your mom definitely saw this post and will be expecting\xe2\x80\xa6 https://t.co/QTZB5Qi5Re'
990987750601093000	4/30/2018 16:14	b'Say hello to Meatball. I\xe2\x80\x99m told he actually loves flowers. That\xe2\x80\x99s just how his face is. 13/10 utterly enchanting https://t.co/375peh8odP'
990745189298917000	4/30/2018 0:10	b'This is Mossy. She stole the remote and then fell asleep making everyone watch what she wanted. A very frustrating\xe2\x80\xa6 https://t.co/v3t5rXgf8K'
990701505018761000	4/29/2018 21:16	b'@theszczzznit omg'
990371169185476000	4/28/2018 23:24	b'@thekathied @crucifalex peekaboop*'
990370849608871000	4/28/2018 23:23	b'This is Cedric. He received a fancy jacket for his 13th birthday. Rain doesn\xe2\x80\x99t stand a h*ckin chance against this g\xe2\x80\xa6 https://t.co/6n5pJvL078'
990357021038915000	4/28/2018 22:28	b'@BleuAceStudio https://t.co/RJpD715IrQ'
990321351926992000	4/28/2018 20:06	b'https://t.co/bZkJVpvaVl'
989933119900999000	4/27/2018 18:23	b'This is Kendal. He was born with a hereditary condition that inhibits tear production. For five years he\xe2\x80\x99s been tak\xe2\x80\xa6 https://t.co/MYJ12dbKPY'
989931745297432000	4/27/2018 18:18	"b'@BadDogCity please direct all further questions to @skyhorsepub. and again, if someone you know is unhappy about th\xe2\x80\xa6 https://t.co/ML3AJcGDB7'"
989657223084244000	4/27/2018 0:07	"b'This is Oakley. He picked you some flowers. Hopes they\xe2\x80\x99re your favorite color. If not, he can try again. 14/10 they\xe2\x80\xa6 https://t.co/oTWddg2972'"
989537883743834000	4/26/2018 16:13	b'We\xe2\x80\x99ve got everything you need to be puppared for Mother\xe2\x80\x99s Day \xf0\x9f\x92\x9e\n\nShop Now: https://t.co/NtMvDEXv9A https://t.co/yHa8UbTYXc'
989362797472632000	4/26/2018 4:37	b'@myres512 \xe2\x9d\xa4\xef\xb8\x8f'
989323987221172000	4/26/2018 2:03	b'@katofhearts \xe2\x9d\xa4\xef\xb8\x8f'
989319704715153000	4/26/2018 1:46	b'RT @dog_feelings: i made. more love cards\n\nhttps://t.co/BPYkRRtZcO https://t.co/2JN77Iso5x'
989300750152069000	4/26/2018 0:30	b'Meet Max. She pouts until someone holds her. A truly rebarkable strategy. 12/10 works every time https://t.co/EduDwIYScu'
989288720976277000	4/25/2018 23:43	b'RT @Amanda_d1234: \xe2\x80\x9cSo what is it like to own a Shiba?\xe2\x80\x9d https://t.co/TuzixPe0Tv'
989279937629696000	4/25/2018 23:08	b'@AustinOnSocial @dog_feelings lol wtf'
989177131887415000	4/25/2018 16:19	b'@LennyBrucefosho @Gracie_Lauren7 rich mahogany*'
989176681243070000	4/25/2018 16:17	b'This is Trout. He lives a life of luxury. Probably owns many leather-bound books. 13/10 for the proper pampered pup\xe2\x80\xa6 https://t.co/6lZdzl02dj'
988932682615853000	4/25/2018 0:08	b'This is Kane. He\xe2\x80\x99s on his way home for the first time after being adopted. Hasn\xe2\x80\x99t stopped smiling since. 13/10 woul\xe2\x80\xa6 https://t.co/s75X0U4pQE'
988894684037644000	4/24/2018 21:37	b'RT @fuchstraumer: the saddest awoo https://t.co/p7etuaZUew'
988573045076963000	4/24/2018 0:19	"b""RT @dog_rates: This is Apollo. He knows he's h*ckin handsome. Stud status achieved. 12/10 would wink back https://t.co/QbEb0I1J9z"""
988515600426299000	4/23/2018 20:30	b'@Niall_Seed @megzaros https://t.co/kkqjs7Y3i9 :)'
988515510550659000	4/23/2018 20:30	b'@JGhosty omg'
988455306224128000	4/23/2018 16:31	b'This is Jackson. His favorite ice cream place just opened pup for the season. Should call it Scoops &amp; Boops. 12/10\xe2\x80\xa6 https://t.co/rbFmDJQpiN'
988208849340510000	4/23/2018 0:12	"b'This is Gus. He was supposed to help his owner with their pupposal, but decided his nap takes priority. 13/10 will\xe2\x80\xa6 https://t.co/xqz3ZU4xGk'"
988146597958750000	4/22/2018 20:04	b'@xigzagoon we would never promote anything of that nature'
988145802106241000	4/22/2018 20:01	b'@xigzagoon incorrect \nhttps://t.co/sY0gKer4qh'
988092954836430000	4/22/2018 16:31	b'@HudgetBrineGods @HAIL_Fredonia yes'
988086600117694000	4/22/2018 16:06	b'@Leiamartin25 @HAIL_Fredonia this is a good question'
988085358024970000	4/22/2018 16:01	b'We are featuring a Star Wars themed Dog Walk today on our snapchat to help raise money for the Institute of Autism\xe2\x80\xa6 https://t.co/kcy0JlJVWV'
987838487218057000	4/21/2018 23:40	"b'RT @michelesykora: My sisters guide dog always sneakily walks her into this store without her knowing \xf0\x9f\x98\x82\xf0\x9f\x98\x8d I love dogs, man https://t.co/UuE9\xe2\x80\xa6'"
987713213474201000	4/21/2018 15:22	b'RT @abcbrisbane: Max the loyal old blue heeler stays with a three-year-old girl lost in rugged bush overnight and leads her grandma to find\xe2\x80\xa6'
987501841939423000	4/21/2018 1:22	b'@LarkChirp @dog_feelings cool'
987398687562371000	4/20/2018 18:32	b'This is Rose. She conducted a very passionate zoom and tore her CCL. Not thrilled about it. Still 13/10. You can he\xe2\x80\xa6 https://t.co/H74P0ZNCBg'
987347825716580000	4/20/2018 15:10	b'RT @JabinSerene: I\xe2\x80\x99ve have yet to finish watering my plants \xf0\x9f\x92\x80 https://t.co/UikjA9UPzH'
986762231290490000	4/19/2018 0:23	b'This is Kylo. He just had his very first checkpup. Good boy levels off the h*ckin charts. 13/10 would noggin pat https://t.co/rjdQ691x1e'
986692586785165000	4/18/2018 19:46	b'@Brandonwoelfel ok but honestly when is the collab i need some pups surrounded by pretty lights ASAP'
986639920189108000	4/18/2018 16:17	b'This is George. He would puppreciate five more minutes. There is absolutely no shame in an extended snoozle. 12/10\xe2\x80\xa6 https://t.co/bbWWcOfrH9'
986394000415485000	4/18/2018 0:00	"b'This is Wilson. He hopes your day is going well. If not, you can always zoom in on his tongue bubbles. 13/10 thank\xe2\x80\xa6 https://t.co/cbCUkTRWPE'"
986031318713683000	4/16/2018 23:59	b'Thank you to everyone who voted for us in the Shorty Awards and to anyone who has ever liked a dog rate. This incre\xe2\x80\xa6 https://t.co/su8yZvwQCm'
985925506536235000	4/16/2018 16:58	b'@agirlkenndream_ no'
985700162956865000	4/16/2018 2:03	"b'RT @shortyawards: Wow, so honored to get to tweet this: @dog_rates doing very good work, much enthusiasm, 13/10. Congrats on your Best Anim\xe2\x80\xa6'"
985592491792625000	4/15/2018 18:55	b'free him https://t.co/zI1h2Q6RIO'
985375275281207000	4/15/2018 4:32	b'@Dodgers dogdgers :)'
985227249023684000	4/14/2018 18:44	b'@JeffVeillette \xe2\x9d\xa4\xef\xb8\x8f'
985197159451512000	4/14/2018 16:44	b'This is Stella. She has been crowned the dandelion queen. Has waited her whole life for such a h*ckin honor. 13/10\xe2\x80\xa6 https://t.co/oMfQQDpV1y'
985012722675978000	4/14/2018 4:31	b'@AndyManganelli I\xe2\x80\x99m here this weekend!'
984978760968671000	4/14/2018 2:16	b'@youkneeskyna @CaseyNeistat @blacktapnyc ...h*ck'
984977443814559000	4/14/2018 2:11	b'@CaseyNeistat @blacktapnyc having it for the first time right now (yes i already ate some so the pic isn\xe2\x80\x99t as prett\xe2\x80\xa6 https://t.co/NqsdnwP27r'
984899768471248000	4/13/2018 21:02	"b'This is Percy. A few weeks ago he started having trouble eating, which was very concerning because food is like his\xe2\x80\xa6 https://t.co/9SGca1NSIC'"
984594512780709000	4/13/2018 0:49	b'This is Kipling. He noticed you forgot a towel for after your shower. Thought he could be of assistance. 14/10 a tr\xe2\x80\xa6 https://t.co/TYVt8DB4dv'
984428686752538000	4/12/2018 13:51	b'@Ms_Cooper_ \xe2\x9d\xa4\xef\xb8\x8f'
984230513396285000	4/12/2018 0:43	b'This is Brutus. He found a twig and got emotionally attached to it. Hoping you\xe2\x80\x99ll let him bring it inside for event\xe2\x80\xa6 https://t.co/BAorciwNPo'
984170643120906000	4/11/2018 20:45	b'@Maxqz_ @ChrisEvans let\xe2\x80\x99s not watch it from an account that doesn\xe2\x80\x99t credit the original'
984169992051679000	4/11/2018 20:43	b'RT @ChrisEvans: This is the moment we met. He was trying so hard to stay seated even though he desperately wanted to get out. I knew right\xe2\x80\xa6'
983850009203544000	4/10/2018 23:31	b'This is Biff. He ordered his scone a while ago. Would like a word with whoever\xe2\x80\x99s in charge around here. 13/10 deep\xe2\x80\xa6 https://t.co/0bPrBLER3R'
983786873339432000	4/10/2018 19:20	b'RT @luludraws: dog memes and coffee (I can\xe2\x80\x99t h*ckin stop buying stuff from @dog_rates) https://t.co/hvmnbnkAQw'
983745489492414000	4/10/2018 16:36	b'@markiplier my goodness'
983499273294802000	4/10/2018 0:17	b'@A11Jarod @stanced_photos watch your mouth'
983498439844663000	4/10/2018 0:14	b'This is Champ. He was told he could only bring one item to the park. No rules against combinations. 13/10 innovativ\xe2\x80\xa6 https://t.co/4u4C5ZFJNY'
983451560633143000	4/9/2018 21:08	b'@jaci_elizabeth3 heads pup*'
983136864742887000	4/9/2018 0:17	b'@eboldy honestly my heart rate is still elevated'
983135207464361000	4/9/2018 0:11	b'@eboldy look... i know'
983133464315691000	4/9/2018 0:04	b'This is Wiley. He has a heart on his nose. 14/10 would protect at all costs  (IG: hi.wiley) https://t.co/AQ3ZonhPRN'
982701575922577000	4/7/2018 19:28	b'Corgi Beach Day is a wonderful magical thing https://t.co/uJh5MOeDqh'
982518140117504000	4/7/2018 7:19	b'@hedonish a trend we hope continues :)'
982317111094624000	4/6/2018 18:00	b'@joshgroban @TiannaMarquette \xe2\x9d\xa4\xef\xb8\x8f'
982306667474780000	4/6/2018 17:18	b'This is Charlie. He\xe2\x80\x99s been diagnosed with osteosarcoma. His back right zoomer has already been amputated to help st\xe2\x80\xa6 https://t.co/RpVdCsotbI'
982014460561850000	4/5/2018 21:57	b'@Starbucks can confirm 13/10'
981929074846322000	4/5/2018 16:18	b'This is Lucky. He likes to get pup close and personal. Needs everyone to know how soft his noggin is. 13/10 would b\xe2\x80\xa6 https://t.co/fDWmIkBSBm'
981895068075417000	4/5/2018 14:03	b'@stephschaefer11 @dog_feelings \xf0\x9f\x92\x9e'
981894806703169000	4/5/2018 14:02	b'@Doughvelopment @darth @theDogvocate where can i send a truckload of tennis balls'
981684648836296000	4/5/2018 0:07	b'This is Luxe. According to her calendar this snow shouldn\xe2\x80\x99t be here anymore. Very ready for beach zooms and toasty\xe2\x80\xa6 https://t.co/Zaz5e3PrhY'
981654415810744000	4/4/2018 22:07	b'@luludraws \xf0\x9f\x92\x9e'
981619256528965000	4/4/2018 19:47	b'@DOOM language'
981567107325399000	4/4/2018 16:20	b'This is Remi. She just discovered that tiny legs don\xe2\x80\x99t generate the forces required for this activity. 13/10 would\xe2\x80\xa6 https://t.co/G7C9rXzBJZ'
981544683678650000	4/4/2018 14:51	b'@JackRand14 legend'
981374074000732000	4/4/2018 3:33	b'@PlayOverwatch @SuperRisu \xf0\x9f\xa4\x94'
981373465516179000	4/4/2018 3:30	b'@nhotte @lukasneville @Noahpinion @dog_feelings my accounts are certainly not immune to the super negative cesspool\xe2\x80\xa6 https://t.co/uXlbE8kJib'
981337691219521000	4/4/2018 1:08	b'@NHL *fist pumps*'
981322022591574000	4/4/2018 0:06	"b'This is Sawyer. If you don\xe2\x80\x99t mind, he\xe2\x80\x99d appreciate some privacy as he puppares his bath. 13/10 https://t.co/ELLNT2Ilt6'"
981263996010598000	4/3/2018 20:15	b'@ChabeliH omg'
981260031617327000	4/3/2018 19:59	b'@ChabeliH \xe2\x9d\xa4\xef\xb8\x8f'
981237453209112000	4/3/2018 18:30	b'RT @MONEY: This 21-year-old quit college to run @dog_rates. He\xe2\x80\x99s now making six figures https://t.co/oLelzeruVY'
980959359982297000	4/3/2018 0:05	b'@Woody_Wilder smaller one'
980958432772714000	4/3/2018 0:01	"b'This is Pluto. He enjoys spending quality time with his father. They have a unique, yet powerful bond. 12/10 for bo\xe2\x80\xa6 https://t.co/EcQF4y1Gv1'"
980931791367430000	4/2/2018 22:15	b'@SOWT_ :)'
980837983178907000	4/2/2018 16:02	b'This is Charlie. He\xe2\x80\x99s a guide pup in training. Working hard on not being distracted by literally everything. 13/10\xe2\x80\xa6 https://t.co/XM0p0kH2pr'
980675033742888000	4/2/2018 5:15	b'@pitchforkprncss propose'
980620436445761000	4/2/2018 1:38	b'RT @dog_feelings: today. i wasn\xe2\x80\x99t a very good dog\n\napril fools. i was so good'
980611193751654000	4/2/2018 1:01	b'RT @gr80nes: I\xe2\x80\x99m having too much fun with toby and these glasses I got him \xf0\x9f\x98\x82 https://t.co/MZEp9otpJH'
980596811772637000	4/2/2018 0:04	b'@MattxRed @davidhogg111 @Emma4Change @JaclynCorin oh h*ck yea'
980514397431959000	4/1/2018 18:37	b'@Ninja more of dog pls'
980487837186437000	4/1/2018 16:51	b'@elijahdaniel \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f'
980459826756145000	4/1/2018 15:00	b'This is Maggie. She has no idea where the last Easter egg went. Not sure why you\xe2\x80\x99re interrogating her. 13/10 would\xe2\x80\xa6 https://t.co/ACWFwVbF7H'
980219547147014000	3/31/2018 23:05	b'This is Romeo. He had an intense passion for adventure. I\xe2\x80\x99m also told he snored really loud and sometimes ate dirt.\xe2\x80\xa6 https://t.co/pbj6PNRDRm'
980164400203141000	3/31/2018 19:26	b'@KittyKthulhu DM :)'
980116183511912000	3/31/2018 16:14	b'@dragonfly808 omg'
980116064263696000	3/31/2018 16:14	b'@Joseforchange \xe2\x9d\xa4\xef\xb8\x8f'
979793640552845000	3/30/2018 18:53	b'@Retailiated BRUCE OMG YOUR EYES SAY IT ALL \xe2\x9d\xa4\xef\xb8\x8f'
979760817448062000	3/30/2018 16:42	b'@Iva_T @dog_feelings i\xe2\x80\x99m just the messenger. this community is incredible and i\xe2\x80\x99m honored to have somehow cultivated it'
979754666236968000	3/30/2018 16:18	b'This is Bruce. He recently had emergency surgery to correct a collapsed lung. Now he has a very special tube helpin\xe2\x80\xa6 https://t.co/ybVQzlhziH'
979387798296977000	3/29/2018 16:00	b'Meet Kenny. He gets nervous during car rides. Only feels safe if you hold him close and massage his noggin. 12/10 a\xe2\x80\xa6 https://t.co/BQKOLXP2pt'
979214795093180000	3/29/2018 4:32	b'@BrandixBLT no'
979092927136911000	3/28/2018 20:28	b'@drvinceknight i can offer some insight into the peculiarities you found. for example: Friday posts are gofundme\xe2\x80\x99s\xe2\x80\xa6 https://t.co/pKzpjx9P4C'
979053905400262000	3/28/2018 17:53	b'@2SpockShakur @direwolfson omg'
979023664120295000	3/28/2018 15:53	b'@darth @direwolfson HE HAS VERY GOOD HANDWRITING TOO DARTH'
979022640504557000	3/28/2018 15:49	b'This is Rizzo. His goodness can be identified from across the street three floors down. 14/10 a truly impressive go\xe2\x80\xa6 https://t.co/C1MnRAwGSu'
978808485986086000	3/28/2018 1:38	b'@darth @kate_guarente C L O O N E Y'
978808316385267000	3/28/2018 1:37	b'RT @rubyymaee: My mum gets handmade clothes from America for my dog and I literally can\xe2\x80\x99t cope \xf0\x9f\x98\x82\xf0\x9f\x98\xa9\xf0\x9f\x98\x82 https://t.co/lpGnDiLyi0'
978780154754404000	3/27/2018 23:45	b'@direwolfson oh. my. goodness.'
978696256754241000	3/27/2018 18:12	b'@TheOneTrueKOB 11oz'
978695695011020000	3/27/2018 18:10	b'@FaintingGoat92 take it back'
978694905349492000	3/27/2018 18:07	b'Reminder: we have good mugs\n\nhttps://t.co/XaV3hKYd72 https://t.co/slDeLSNAHn'
978613739200098000	3/27/2018 12:44	b'@Sadokist omg matthew'
978423766077333000	3/27/2018 0:09	b'This is Spencer. He is unpredictable and duplicitous. Will not hesitate to bite your whole h*ckin arm off. Still 12\xe2\x80\xa6 https://t.co/cIcwLPsd8k'
978384552266752000	3/26/2018 21:33	b'@btowns96 amazing'
978358307462279000	3/26/2018 19:49	"b""RT @Ccarver13: added another sticker to the car to let everyone know i miss yonce when i'm not home \xf0\x9f\x90\xbe https://t.co/rd6R57ffCA"""
978357145493176000	3/26/2018 19:44	b'@fabulousbatman yea we\xe2\x80\x99re not affiliated with that trash'
978298085767045000	3/26/2018 15:50	b'This is Sam. He occasionally misplaces his ears. Always finds them though. 13/10 superb boy https://t.co/slaNqgk6XF'
977652629764534000	3/24/2018 21:05	b'@commrhetprof @darth @matt___nelson best one so far'
977630329145102000	3/24/2018 19:36	b'Here is a very supportive pup toting a simple statement while marching with her humans today. 14/10\xe2\x80\xa6 https://t.co/7sZOv3Aj7Z'
977382454444085000	3/24/2018 3:11	b'@Wendys we meant h*ck'
977382316623396000	3/24/2018 3:11	b'@Wendys oh shit'
977307019790241000	3/23/2018 22:12	b'@SeaTimesSports all I\xe2\x80\x99ll say is that 10/10 is quite low'
977255873734168000	3/23/2018 18:48	b'@FFXVEN \xe2\x9d\xa4\xef\xb8\x8f'
977250814082371000	3/23/2018 18:28	b'@Brandonwoelfel *nods*'
977247893974405000	3/23/2018 18:17	b'@KeithOlbermann \xe2\x9d\xa4\xef\xb8\x8f'
977245818951520000	3/23/2018 18:08	"b'This is Prompto. He was the runt of the litter and clearly still excruciatingly adorable. At just 10 months old, he\xe2\x80\xa6 https://t.co/CfDKIPSVjc'"
977237280124555000	3/23/2018 17:34	b'RT @dog_feelings: if we\xe2\x80\x99re being really honest. i think. we should celebrate puppies. every day. just a thought'
977225792659836000	3/23/2018 16:49	b'@danibeckstrom some of us deserve it Dani'
977194539613122000	3/23/2018 14:45	b'@darth 1000 replies in 4 minutes darth buckle pup'
977193624265023000	3/23/2018 14:41	"b'In honor of #NationalPuppyDay, please help me create a mega-thread of joy by replying with pics of your dog. Thank you \xe2\x9d\xa4\xef\xb8\x8f'"
977018919402770000	3/23/2018 3:07	b'@CBCFletch \xf0\x9f\xa4\x97'
976965618112061000	3/22/2018 23:35	b'Here is a puppo executing a passionate attempt. 14/10 would boost\n(IG: thegolden_finnley) https://t.co/aVC45fKDbU'
976946948891607000	3/22/2018 22:21	b'@MalmalStan we see them \xf0\x9f\x98\x8a'
976898807727312000	3/22/2018 19:10	b'@lyss121 oh. my. goodness.'
976898286786433000	3/22/2018 19:07	"b'RT @lyss121: My sister snapped me this, but I feel like it deserves to be seen by so many more \xf0\x9f\x98\xad https://t.co/p5QqXgjVPt'"
976613067894247000	3/22/2018 0:14	b'Meet Apollo. He stops by this wall every day on his walk. Says the wings make him feel both powerful and marvelous.\xe2\x80\xa6 https://t.co/6Ig9a7bn7g'
976497585828646000	3/21/2018 16:35	b'This is Finnley. He heard someone say to raise your hand if you\xe2\x80\x99re a good boy. 14/10 good boy status confirmed https://t.co/6zLM6mdyWU'
976201779556864000	3/20/2018 21:00	b'@DavidDobrik 12/10 lovely pup https://t.co/4wA7egfUBz'
976128197015359000	3/20/2018 16:07	b'RT @dog_rates: This is Frisco. He\xe2\x80\x99s simply a majestic boy. Planning to place these at the front of his modeling pupfolio. 13/10 would sign\xe2\x80\xa6'
975887646223462000	3/20/2018 0:12	b'This is Armas. He is king of the frosty head tilts. Flawlessly executed sneaky tongue slip as well. 13/10 simply br\xe2\x80\xa6 https://t.co/5Pf290kmPV'
975834684440662000	3/19/2018 20:41	b'@thegreatkhalid \xe2\x9d\xa4\xef\xb8\x8f'
975813116507324000	3/19/2018 19:15	b'RT @landonsiu: Milk Tea deserves to be famous as he will bless everyone https://t.co/qPXRUUQ6MM'
975774985401896000	3/19/2018 16:44	b'@zelany @emily_holland01 these are fine'
975767258600542000	3/19/2018 16:13	"b'This is outrageous. We do not rate Deadly Moroccan Road Lions, no matter how jubilant they may appear. We only rate\xe2\x80\xa6 https://t.co/V85hGITQu4'"
975566242114428000	3/19/2018 2:54	b'@master_chief_sd @darth @Gynxed @UMBCAthletics DARTH LOOK AT HIS AVATAR HE HAS A SHIRT'
975523487984115000	3/19/2018 0:04	b'@BirchandMaple @Gynxed @UMBCAthletics please watch your language'
975522681985658000	3/19/2018 0:01	b'This is Chief. He\xe2\x80\x99s hype as h*ck for the game. Claims he\xe2\x80\x99s been a fan forever. 13/10 really hopes both teams have f\xe2\x80\xa6 https://t.co/JvjSlnNYhJ'
